509.3974, -0.0352
494.8709, -0.0403
479.3759, -0.0399
465.8178, -0.0501
450.3228, -0.0650
434.8278, -0.0802
420.3013, -0.0951
404.8063, -0.1053
389.3113, -0.1151
374.7848, -0.1205
360.2582, -0.1252
344.7633, -0.1252
329.2683, -0.1252
313.7733, -0.1252
299.2468, -0.1201
284.7202, -0.1201
270.1937, -0.1151
254.6987, -0.1100
239.2037, -0.1049
224.6772, -0.1002
210.1506, -0.0900
194.6557, -0.0849
180.1291, -0.0751
164.6341, -0.0650
151.0760, -0.0552
134.6126, -0.0454
118.1492, -0.0399
104.5911, -0.0298
90.0646, -0.0203
74.5696, -0.0156
60.0430, -0.0102
44.5481, -0.0051
30.0215, -0.0004
14.5265, 0.0000
