510.3659, -0.0403
494.8709, -0.0555
480.3443, -0.0751
464.8494, -0.0904
449.3544, -0.1053
434.8278, -0.1154
420.3013, -0.1205
404.8063, -0.1303
389.3113, -0.1303
374.7848, -0.1354
360.2582, -0.1354
344.7633, -0.1354
330.2367, -0.1299
313.7733, -0.1299
299.2468, -0.1252
284.7202, -0.1151
270.1937, -0.1103
254.6987, -0.1053
240.1722, -0.0951
224.6772, -0.0853
209.1822, -0.0802
194.6557, -0.0701
180.1291, -0.0599
164.6341, -0.0555
150.1076, -0.0454
134.6126, -0.0403
120.0861, -0.0305
104.5911, -0.0250
90.0646, -0.0203
74.5696, -0.0152
60.0430, -0.0105
44.5481, -0.0051
30.0215, -0.0054
14.5265, -0.0007
