509.3974, -0.0802
494.8709, -0.1002
479.3759, -0.1201
464.8494, -0.1354
449.3544, -0.1499
434.8278, -0.1601
419.3329, -0.1604
404.8063, -0.1702
389.3113, -0.1702
374.7848, -0.1706
359.2898, -0.1702
344.7633, -0.1652
329.2683, -0.1601
314.7418, -0.1604
299.2468, -0.1550
284.7202, -0.1452
270.1937, -0.1401
254.6987, -0.1303
240.1722, -0.1201
224.6772, -0.1100
209.1822, -0.1002
194.6557, -0.0904
179.1607, -0.0751
164.6341, -0.0650
150.1076, -0.0548
134.6126, -0.0454
120.0861, -0.0356
104.5911, -0.0250
90.0646, -0.0203
74.5696, -0.0105
60.0430, -0.0054
45.5165, -0.0004
30.0215, -0.0004
13.5581, -0.0004
